Title,Tags,PublishedAt,ViewsCount,LikesCount,FavouriteCount,CommentsCount,Days_Since_Published,engagement_rate,Views_velocity 
How he grabbed OFF-Campus Internship at Goldman Sachs ? Key Interview learnings with Shradha ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-06-06 16:51:28+00:00,75144,2884,0,270,8,4.197274566166294,9393.0
What are the best Projects for Placements & Internships that will get you Hired?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-06-03 17:47:42+00:00,271025,11464,0,430,11,4.388525043815146,24638.64
How this 3rd year student got selected in Google ? Core branch student,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-05-29 16:00:52+00:00,84146,2926,0,211,16,3.7280441138022007,5259.12
Complete Placement Preparation: Full Web Development + DSA + Aptitude | New Sigma 8.0 🚀,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-05-24 15:29:54+00:00,224904,6516,0,1127,21,3.3983388467968556,10709.71
"WAKE UP CALL for 1st, 2nd year students - Know what's your Goal","['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-04-03 16:52:00+00:00,612443,35526,0,1289,72,6.011171651892503,8506.15
How this Core branch student with just 6.5 CGPA got 27 lakhs Tech Placement at JusPay?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-02-10 17:12:57+00:00,102596,3582,0,208,124,3.6941011345471555,827.39
Shradha Khapra Ma'am invited their selected students for Interviews🪴,,2025-02-10 14:54:01+00:00,237349,11254,0,101,124,4.784094308381329,1914.1
Google Intern : Importance of Projects,,2025-01-20 09:33:16+00:00,191290,11292,0,31,146,5.919284855455068,1310.21
Google Interview process. Shivam is our Alpha student who cracked Google.,,2025-01-11 14:43:49+00:00,254881,14933,0,53,154,5.879606561493403,1655.07
Naman is our student who cracked Goldman Sachs. Complete Interview is available on Apna College,,2025-01-10 05:29:34+00:00,978578,47031,0,110,156,4.817296117427532,6272.94
How this student got Amazon via Off-Campus Hackathon | from Tier 2/3 | Interview lessons with Ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2025-01-08 15:56:07+00:00,136752,4920,0,253,157,3.7827600327600326,871.03
Complete Placement Preparation : Full Stack Web Development + Java DSA + Aptitude | New Sigma 6.0 🚀,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-12-21 15:28:28+00:00,406589,9488,0,1444,175,2.688710220886448,2323.37
Recursion Part 3 : Backtracking in Detail | Print all Subsets | Subsets II,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-27 14:38:58+00:00,72455,1553,0,133,199,2.3269615623490445,364.1
Subarray Sum Equals K | Brute-Better-Optimal approach,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-19 15:44:14+00:00,70650,1623,0,136,207,2.4897381457891012,341.3
Web Development Complete RoadMap for 2025 | from Basics to Advanced,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-17 16:26:04+00:00,1325493,49945,0,1826,209,3.90579203360561,6342.07
Interview lessons & learnings - by Shradha Ma’am,,2024-11-08 14:48:47+00:00,92657,3682,0,44,218,4.02128279568732,425.03
Search a 2D Matrix - Variation I & II | 2D Arrays - Part 2 | DSA Series by Shradha Ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-11-04 15:45:16+00:00,55471,1436,0,177,222,2.9078257107317333,249.87
2nd year student cracks Paypal | Off-Campus selection | + PPI,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-19 16:05:23+00:00,304717,11179,0,584,238,3.860303166544696,1280.32
Strings & Character Arrays in C++  -  Part 1 | DSA Placement Series,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-18 16:02:49+00:00,153793,3391,0,274,239,2.383073351843062,643.49
C++ STL Complete Tutorial | Standard Template Library - One Shot,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-15 15:33:41+00:00,253150,5010,0,409,242,2.1406280861149516,1046.07
Merge Sorted Arrays Problem and Next Permutation Problem | DSA Series,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-14 16:26:55+00:00,108941,2428,0,231,243,2.44077069239313,448.32
"Sorting Algorithms | Bubble Sort, Selection Sort & Insertion Sort | DSA Series by Shradha Ma'am","['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-09 16:16:20+00:00,565103,10164,0,377,248,1.8653236666589985,2278.64
Single Element in Sorted Array | Binary Search | DSA Series Lecture 20,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-10-02 15:30:16+00:00,86888,2393,0,321,255,3.123561366356689,340.74
Majority Element | Brute- Better-Best Approach | Moore's Voting Algorithm | & Pair Sum,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-16 16:05:59+00:00,264733,5107,0,595,271,2.1538682370539375,976.87
Array Data Structure - Part1 | DSA Series by Shradha Khapra Ma'am | C++,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-11 15:45:45+00:00,669523,10570,0,1087,276,1.7410902986155816,2425.81
Binary Number System | DSA Series by Shradha Khapra Ma'am | C++,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-08 15:44:01+00:00,405746,8802,0,1123,279,2.4461116067687665,1454.29
Lecture 4: Patterns | DSA Series by Shradha Khapra Ma'am | C++,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-09-05 15:40:03+00:00,717257,11564,0,1777,282,1.8600027605168021,2543.46
What is the future of Software Engineering in next 5 years?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-08-23 16:30:12+00:00,639379,26158,0,1304,295,4.295105094161679,2167.39
Tech MasterClass with CTOs | Angle One CTO & Shradha Khapra Ma'am,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-08-18 15:43:30+00:00,59515,1929,0,174,300,3.5335629673191633,198.38
How he cracked 6 month Internship + Job Offer from Tier 3 College ? Cisco Ideathon,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-05-09 17:29:56+00:00,391797,9814,0,320,401,2.5865435416810234,977.05
Tier 3 to Off Campus Google & Microsoft | How did this student crack both Internships?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-04-27 17:04:45+00:00,676609,20303,0,718,413,3.106816492242935,1638.28
Bringing Complete Placement Course  : C++ & Data Structures & Algorithms  | in 4 Months,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-03-21 15:49:26+00:00,221878,9550,0,1027,450,4.7670341358764725,493.06
Launching New Complete Placement Cohort ❤️| Web Development + Complete DSA | New SIGMA Batch,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-01-27 16:38:32+00:00,195536,8402,0,1087,504,4.852814826937239,387.97
5 Best Websites to find Jobs and Internships in 2024 | Software Engineering,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2024-01-07 14:56:18+00:00,586949,23165,0,593,524,4.047711129927813,1120.13
How to make Ultimate Resume ? Step by step guide for Software Engineers,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-11-15 16:42:57+00:00,913741,23357,0,445,577,2.604895698015083,1583.61
How to Improve English Speaking for Interviews ? 5 Easy Tips,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-09-20 17:28:37+00:00,2073051,90921,0,1493,633,4.457873925918851,3274.96
Interview Question | C Programming Language,,2023-09-19 15:09:41+00:00,3755461,253464,0,1394,634,6.786330626253341,5923.44
Aptitude Question Round | TCS,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-09-14 16:07:49+00:00,2683020,146827,0,2546,639,5.567345752174789,4198.78
Complete Git and GitHub Tutorial for Beginners,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-08-24 16:49:21+00:00,4643077,94371,0,3391,660,2.1055433713462,7034.97
SQL - Complete Course in 3 Hours | SQL One Shot using MySQL,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-08-18 17:38:13+00:00,12936051,196812,0,6953,666,1.5751715883000152,19423.5
How many Coding languages needed for Internship/Placement as Software Engineer in Top Companies?,,2023-07-23 17:46:18+00:00,2541508,225201,0,450,692,8.8786263903163,3672.7
How I would Code if I get back in 1st year of College? Software Development Placement | RoadMap,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-07-08 17:28:10+00:00,904815,49573,0,2027,707,5.7028232290578735,1279.79
How to become a UI UX Designer?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-05-11 15:31:17+00:00,2572667,187614,0,527,765,7.313072387526252,3362.96
Shradha Khapra Ma'am at Thapar University,,2023-04-23 17:03:38+00:00,556419,36823,0,140,783,6.643015425425804,710.62
Should you do BCA in 2024? All about BCA,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-04-16 10:42:39+00:00,2117042,84208,0,5861,791,4.254473931079308,2676.41
One Thing to Increase your Confidence,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-04-14 15:47:11+00:00,247344,28798,0,102,792,11.684132220712854,312.3
Java or C++ or Python | Which language is best for Placements?,"['C++', 'C++ coding', 'C++ full course', 'C++ placement course', 'how to code', 'programming', 'college placement course', 'C++ language', 'java', 'java language', 'java full course', 'java placement', 'java code', 'java coding']",2023-04-10 17:52:01+00:00,1410174,45241,0,1752,796,3.3324256439276287,1771.58
